id,label,claim
150350,1,Daftar Insan Sepak Bola yang Positif Virus Corona
150351,1,INFOGRAFIS: Virus Corona Berbahaya Vs DBD Mematikan
150352,1,BIN: Puncak Penyebaran Corona Covid-19 Diperkirakan di Bulan Puasa
150353,1,Maskapai Eropa Terbangkan Pesawat Hantu Akibat Wabah Corona
150354,1,Curhat WNI di Italia Merasakan Lockdown Akibat Virus Corona COVID-19
150355,1,Susul Arteta Gelandang Chelsea Juga Kena Virus Corona
150356,0,Gerak Cepat Tangkal Corona Pemerintah: Masa Nanti Idul Fitri Salaman Pakai Kaki?
150357,1,Kasus Virus Corona di Singapura Naik Jadi 187 2 Pasien di Antaranya WNI
150358,1,Selain Iran 3 Negara Ini Tengah Meneliti Obat Untuk Virus Corona COVID-19
150359,1,Jubir Pemerintah Pertanyakan Data Gubernur Banten Soal Warganya Positif Corona
150360,1,Duka Pengusaha Hotel dan Restoran Indonesia Rugi Triliunan Rupiah Akibat Wabah Corona
150361,1,Gubernur Wahidin: 4 Warga Banten Positif Covid-19 Baru Pulang dari Malaysia
150362,1,Terkuak Penular Virus Corona ke Pasien Nomor 27 yang Transmisi Lokal
150363,1,Bek Juventus Positif Virus Corona Cristiano Ronaldo Dikarantina di Madeira
150364,1,2 Pasien dengan Gejala Corona Meninggal Dunia di RSPI Sulianti Saroso
150365,1,Iran Temukan Obat Virus Corona Pasien Sembuh Secara Parsial
150366,1,Virus Corona COVID-19 Picu Filipina Lockdown Ibu Kota
150367,1,Viral 5 Wilayah di Jakarta Pusat Penyebaran Corona Pemprov DKI: Itu Hoaks
150368,1,Daftar 81 Negara yang Belum Ada Laporan Virus Corona COVID-19
150369,1,Deretan Pejabat Atlet hingga Selebritas Dunia yang Positif Virus Corona
150370,1,Update Virus Corona Hari Ini: 126.136 Orang di Dunia Terinfeksi 68.219 Pasien Sembuh
150371,1,Selamat 3 Orang Pasien di RSUP Persahabatan Sembuh dari Corona
150372,1,5 Hal Viralnya Tangkapan Layar Penyebaran Virus Corona di KRL Bogor-Kota
