id,claim
150001,BIN: Puncak Virus Corona di Indonesia saat Bulan Ramadan
150002,Melihat Keterbukaan Singapura Menghadapi Virus Corona
150003,Paulo Dybala Dikabarkan Positif Virus Corona
150004,Ada Corona Tarawih dan Buka Puasa di Istiqlal Tetap Digelar
150005,Bantah Yurianto RSPI Sebut Satu Pasien Terkait Corona Tewas
150006,Pasien Positif Corona Tewas Ganjar Pranowo Batalkan Acara
150007,Kronologi Pelatih Arsenal Arteta Positif Virus Corona
150008,Massa Demo Doakan India Kena Azab Wabah Virus Corona
150009,Curhat Anak Kereta soal KRL Risiko Tinggi Penularan Corona
150010,4 Skenario La Liga Terkait Corona Barcelona Bisa Juara Cepat
150011,Imam Besar Istiqlal: Jangan Anggap Corona Azab
150012,Dampak Corona Buruh Gaji Rp200 Juta per Tahun Bebas Pajak
150013,Potensi Tinggi Risiko Corona Jaksel Butuh Pengawasan Lebih
150014,Sri Mulyani Siapkan Rp1 Triliun Tangani Virus Corona
150015,Unair dan Eijkman Dilibatkan Periksa Corona Mulai Pekan Depan
150016,Anies Sebut Risiko Corona di KRL Berikut Biaya Alternatifnya
150017,Jokowi Sebut Dampak Virus Corona Berlanjut Hingga 2021
150018,Menebak 'Ujung' Wabah Corona Berkaca dari Ebola hingga SARS
150019,Waspada Corona Kemendikbud Tetap Mulai UNBK 16 Maret
150020,Ekspor China Anjlok Imbas Virus Corona
150021,LIPI: Corona Berpotensi Menular dari Benda Mati
150022,Top 3: Mau Diinjeksi Virus Corona untuk Uji Coba Vaksin Bakal Dibayar Rp 65 Juta
150023,Top 3: Temuan Obat Virus Corona oleh Iran Hingga Manila Lockdown Jadi Sorotan
150024,Pejabat China Tuding Tentara AS Bawa Virus Corona COVID-19 ke Negaranya
150025,Mampukah Suhu Panas Mematikan Virus Corona COVID-19?
150026,Top 3: Negara Bebas Laporan Virus Corona hingga Asal COVID-19 Bukan dari China
150027,Sumber Corona Pasien 27 Misterius RSIP: Kemungkinan Tertular di Kerumunan
150028,Virus Corona COVID-19 Dikabarkan Picu Denmark Putuskan Lockdown
150029,Karena Corona 500 Lebih Warga China Urus Izin Tinggal Darurat di Indonesia
150030,Hacker Pakai Peta Real-Time Virus Corona untuk Sebar Malware
150031,Respons Gelandang MU soal Virus Corona Berpotensi Hambat Liverpool Menjuarai Liga Inggris
150032,Cegah Virus Corona India Tangguhkan Semua Visa Turis hingga 15 April 2020
150033,Ada Perubahan Gejala dalam Infeksi Virus Corona Wajarkah?
150034,Fenomena Anak Muda Beli Tiket Pesawat yang Harganya Turun Drastis karena Wabah Corona
150035,Top 3 Tekno: Hacker Sebar Malware Pakai Peta Virus Corona Jadi Sorotan
150036,Gubernur Maluku Yakin Virus Corona Tak Sampai ke Indonesia Timur
150037,3 Cara Praktis Hindari Virus Corona
150038,7 Informasi Terbaru Tentang Virus Corona yang Perlu Anda Diketahui
150039,Akibat Virus Corona Investasi China ke Indonesia Berpotensi Turun
150040,Berapa Lama Virus Corona Bisa Bertahan di Benda Sekitar Anda?
150041,10 Kebiasaan Buruk yang Berpotensi Menyebarkan Virus Seperti Corona
150042,Diklaim Bisa Tangkal Corona Obat di Toko Online Dijual Hampir Rp 1 Juta
150043,Jangan Panik Lakukan 2 Hal Ini untuk Cegah Penularan Virus Corona
150044,Lewat Terapi Sel Induk Peneliti China Klaim Pasien Virus Corona Bisa Disembuhkan
150045,Sadarkah Anda Kenapa Virus Corona Tak Menginfeksi Anak-Anak?
150046,Tips Hindari Penyebaran Virus Corona Saat di Pesawat
150047,Wamenkeu: Insentif Pariwisata untuk Kurangi Dampak Corona
150048,Donald Trump Buat Publik Sulit Percaya Bahaya Corona
150049,Kiat Cegah Virus Corona Saat Mengemudi
150050,Masa Puncak Corona Bisa Diminimalisir Dengan Upaya Maksimal
150051,Terinfeksi Corona Mengapa Ada yang Dikarantina Mandiri?
150052,Alasan Mengapa Kasus Corona di Saudi Terus Bertambah
150053,JK Nilai Lockdown Jadi Satu Solusi Cegah Corona Meluas
150054,Waspada Virus Corona Berpotensi Sebarkan Malware ke Komputer dan HP-mu! Begini Cara Atasinya
150055,BIN: Masa Puncak Penyebaran Corona di Indonesia Hingga Mei
150056,Gunung Es Virus Corona Baru Mulai Terkuak
150057,Tanda Ini Menjadi Ciri Anda Suspect Terpapar Virus Corona
150058,Soal Corona Pemerintah Harusnya Perketat Masuknya WNA
150059,Corona Ancam Pelaksanaan Ibadah Haji
150060,Terapi untuk Penderita Virus Corona Jenis Baru
150061,Cristiano Ronaldo Bebas Virus Corona
150062,Dua Anak Usia 2 dan 3 Tahun Positif Corona
150063,Virus Corona Mulai Tekan Pengunjung Pusat Perbelanjaan
150064,Update Corona 13 Maret: 69 Kasus Positif 4 Meninggal Dunia
150065,Pemerintah Soal Pasien Corona RSUP: Bukan Kabur Pulang Dulu
150066,RSPI Isolasi Satu Pasien Baru Positif Corona
150067,Pasien Positif Corona Kabur dari RSUP Persahabatan
150068,Bertambah Dua Pasien Sembuh dari Corona Jadi 5 Orang
150069,Kontak Pasien Corona di Solo 62 Orang Karantina Mandiri
150070,Daftar 9 Atlet Positif Virus Corona
150071,Juventus Pastikan Dybala Tak Positif Corona
150072,Jokowi: Dua Pasien Corona Meninggal Dunia
150073,PKS Desak Pemerintah Ungkap Daerah Persebaran Virus Corona
150074,Alasan Jokowi Emoh Ungkap Asal Daerah Pasien Corona
150075,Anies: Hampir Semua Kecamatan di Jakarta Ada Kasus Corona
150076,Jokowi Puji Anies soal Penanganan Corona di Jakarta
150077,Anies Ajak Warga Jakarta Cegah Corona Secara Masif
150078,Pasien Positif Corona 01 di RSPI Sembuh dan Siap Dipulangkan
150079,Cara Cek Informasi Virus Corona Lewat Whatsapp
150080,Tujuh WNI Positif Virus Corona di Singapura
150081,Pasien Kabur dari RSUP karena Tak Dapat Bukti Positif Corona
150082,Tom Hanks Sampaikan Terima Kasih dari Ruang Isolasi Corona
150083,Ada Malware Menyamar di Situs Peta Penyebaran Corona
150084,UEFA Resmi Tunda Liga Champions karena Corona
150085,Striker Chelsea Hudson-Odoi Positif Virus Corona
150086,Virus Corona Mampu Bertahan di Plastik dan Stainless Steel
150087,600 WNI Ikut Tablig Akbar di Malaysia yang Terpapar Corona
150088,Mendagri Australia Positif Virus Corona
150089,Cegah Corona Anies Tutup Semua Tempat Wisata di Ibu Kota
150090,Anies Minta Warga Jakarta Tinggal di Rumah Demi Cegah Corona
150091,Satu Pasien Meninggal di RS Moewardi Solo Positif Corona
150092,Libatkan Intelijen Jokowi Tangani Corona Tanpa Suara
150093,Jokowi Belum Terpikir Lockdown Indonesia karena Corona
150094,Seribu WNI Terjebak di Manila yang Diisolasi Akibat Corona
150095,Striker Madrid Berbagi Fasilitas dengan Atlet Positif Corona
150096,Pengakuan Dokter Wuhan hingga Lonjakan Kasus Corona di Italia
150097,Positif Corona Arteta Kecewa tapi Tak Patah Semangat
150098,Pasien Positif Corona 27 Tertular dari Sub Klaster Kasus 01
150099,Liga Inggris Resmi Ditunda karena Corona
150100,PKS Minta Pemerintah Lebih Terbuka soal Corona
150101,Jokowi: Sejak Awal Task Force Corona Saya Komandani Sendiri
150102,Mengenal DDoS yang Serang Situs Virus Corona DKI ala Anies
150103,Anies Minta Jokowi Libatkan Jakarta untuk Tes Corona
150104,Pemda Minta Uji Corona Pusat Bicara Kapasitas Laboratorium
150105,Jokowi Dikritik Tak Berani Transparan soal Suspect Corona RI
150106,Data Pasien Corona: 34 Positif 3 Sembuh 1 Meninggal Dunia
150107,Perilisan Mulan Diundur karena Wabah Virus Corona
150108,Anies Balas Puji Jokowi soal Transparansi Pasien Corona
150109,Arteta Positif Corona Jadwal Liga Inggris Jadi Tak Menentu
150110,Membandingkan Wabah SARS MERS dan Virus Corona
150111,Kalang Kabut Produksi Serial TV Amerika karena Virus Corona
150112,Singapura Tutup Masjid Cegah Corona Salat Jumat Ditiadakan
150113,Liga Malaysia Ditangguhkan untuk Kendalikan Penyebaran Corona
150114,Markas PBB Terpapar Corona Satu Diplomat Dinyatakan Positif
150115,Virus Corona Buat Pasar Saham AS Anjlok Terburuk Sejak 1987
150116,Jokowi Minta Uji Spesimen Corona Tak Cuma oleh Balitbangkes
150117,Staf Presiden Brasil Positif Corona dan Sempat Bertemu Trump
150118,Karpet Media Penularan Corona Menag Minta Masjid Gulung
150119,Cegah Corona Penonton Persebaya vs Persipura Cek Suhu Tubuh
150120,Melongok Langkah Agresif Korsel Melawan Virus Corona
150121,Pariwisata Yogyakarta 'Tertular' Virus Corona Kunjungan Sepi
150122,Menkes Pastikan Tak Ada Lockdown karena Virus Corona
150123,Istiqlal Cegah Corona: Gulung Karpet hingga Steril Uang Infak
150124,WNA Pasien 25 Meninggal di Bali Suami Negatif Corona
150125,Cegah Corona Saudi Larang Masuk Pendatang dari Indonesia
150126,Istri PM Kanada Justin Trudeau Positif Virus Corona
150127,Inter dan Roma Tolak Mundur dari Liga Europa karena Corona
150128,Istri Positif Corona PM Kanada Justin Trudeau Karantina Diri
150129,DKI Ingin Wisma Atlet untuk Ruang Karantina ODP Corona
150130,Indonesia Dinilai Belum Mampu Rancang Vaksin untuk Corona
150131,Warga Emoh Tak Naik KRL Meski Disebut Risiko Tinggi Corona
150132,Eijkman Institute Minta Pemerintah Berkolaborasi Tes Corona
150133,India Laporkan Kematian Pertama karena Virus Corona
150134,Penasihat Pemimpin Iran Positif Virus Corona Bertambah
150135,Pelatih Arsenal Mikel Arteta Positif Virus Corona
150136,Observatorium Bosscha Bandung Ditutup Sementara Cegah Corona
150137,Cerita WNI di Australia Berburu Tisu Toilet di Tengah Corona
150138,Banjir Hoaks Corona Ahli Bicara Motif Politik hingga Sosial
150139,SBY Tak Undang Jokowi ke Kongres Demokrat Gara-gara Corona
150140,Kemenkeu Bebaskan Bea Masuk Impor Bahan Antivirus Corona
150141,Virus Corona OJK Izinkan UMKM Tunda Bayar Pokok Utang
150142,Daftar 8 Bursa Saham Dunia yang Tertekan Virus Corona
150143,Staf McLaren Positif Corona GP F1 Australia Dibatalkan
150144,Pasien Corona Kasus 27 Diisolasi di RSPI Sulianti Saroso
150145,Provinsi Hubei Catat Korban Corona Terendah Sejak 25 Bulan
150146,27 Positif Corona di Indonesia: 13 Tertular di Luar Negeri
150147,Virus Corona Kemendag Larang Ekspor Masker
150148,Virus Corona Masih 'Infeksi' Rupiah Melemah ke Rp14.640
150149,Costa Berpura-pura Batuk Berguyon soal Virus Corona
150150,Jubir RI Jelaskan Alasan Tutupi Daerah Pasien Positif Corona
150151,Takut Raib Gaji Warga Jakarta ODP Corona Enggan Diperiksa
150152,WNI Positif Corona di Singapura Bertambah Jadi 5 Orang
150153,Thailand Batalkan Visa Sejumlah Negara Akibat Virus Corona
150154,Penutupan Disneyland Tokyo Diperpanjang akibat Virus Corona
150155,Heboh Corona Harga Hand Sanitizer Meroket di Ecommerce
150156,Pentas Broadway Tutup demi Cegah Penyebaran Virus Corona
150157,Peluncuran Ninja 4-Silinder di Indonesia Ditunda Sebab Corona
150158,Tom Hanks dan Istri Positif Virus Corona
150159,Pasien Positif Corona di Indonesia Bertambah Jadi 19 Orang
150160,'Enggak Usah Takut Virus Corona'
150161,Wabah Corona AS Minta Warga Tunda Bepergian ke Luar Negeri
150162,Jubir RI soal Corona: Usul Lockdown Harus Disikapi Hati-hati
150163,Dua Pasien Positif Corona Sembuh Siap Dipulangkan
150164,DKI Sebut Sebaran Corona Berada di Pemukiman Tak Kumuh
150165,Liga 1 2020 Berjalan di Tengah Wabah Virus Corona
150166,Pemprov Bali Tahu Pasien 25 Positif Corona Setelah Meninggal
150167,Pengakuan Dokter di Wuhan yang Dibungkam China karena Corona
150168,RSUP Ungkap Faktor Kesembuhan Pasien Positif Corona
150169,Pasien Positif Corona di Indonesia Tambah 7 Total 34 Kasus
150170,Situs Virus Corona Pemprov DKI Diserang Hacker
150171,Menkominfo 'Tegur' Pemprov Jakarta soal Situs Virus Corona
150172,Ada 196 Hoaks Salah Satunya Jackie Chan Kena Corona
150173,Cegah Virus Corona Presiden Duterte Isolasi Total Manila
150174,Cegah Corona Semua Gereja Katolik di Roma Ditutup
150175,Jubir RI: Tak Beri Data Pasien Corona ke Gubernur Banten
150176,126 WNA Ditolak Masuk Indonesia karena Corona Terbanyak Bali
150177,RS Persahabatan Pulangkan Pasien 6 dan 14 yang Sembuh Corona
150178,Ahli: Indonesia Tak Akan Siap Jika Virus Corona Jadi Pandemi
150179,Sumber Virus Corona Pasien 27 Masih Misterius
150180,WHO Khawatir Penyebaran Virus Corona Mengarah ke Pandemi
150181,Netizen Cibir Situs Kemenkes 'Lemot' soal Virus Corona
150182,Pasien dalam Pengawasan Corona di Indonesia Capai 736 Orang
150183,Daniel Radcliffe Klarifikasi Isu Dirinya Positif Corona
150184,Ronaldo 'Dikarantina' di Portugal karena Corona
150185,Anies Siapkan Skenario Terburuk Potensi 6.000 Kasus Corona
150186,RSPI Sebut Kasus 01-02 Masih Positif Corona: Sudah 4 Kali Tes
150187,Satu Pasien Positif Corona Baru Belum Terdeteksi Cluster Mana
150188,UEFA Bisa Tunda Liga Champions dan Liga Europa Akibat Corona
150189,Soal Corona DKI Belum akan Tutup Transportasi Ibu Kota
150190,Positif Corona di Italia Tembus 12 Ribu 827 Orang Meninggal
150191,WHO Umumkan Virus Corona Sebagai Pandemi
150192,Dokter Muhammadiyah Bernama Corona Pimpin Tim Tangani Virus
150193,RSUD Pasar Minggu Isolasi 4 Pasien dalam Pengawasan Corona
150194,WNA Meninggal Positif Corona Baru 4 Hari di Indonesia
150195,Pasien Corona di RI Wafat Vaksin Masih Belum Berhasil Dibuat
150196,Ada Pasien Positif Corona yang Diisolasi di Luar Jakarta
150197,Bek Juventus Daniele Rugani Positif Virus Corona
150198,Kasus Corona di New York Bertambah Sejumlah Pagelaran Batal
150199,Pasien Positif Corona nomor 25 Meninggal Dunia
150200,Daniele Rugani Calon Kapten Juventus yang Terkena Corona
150201,Adu Situs Virus Corona ala Anies Versus Pemerintah Pusat
150202,China Wajibkan Karantina Seluruh WNA untuk Tekan Corona
