id	judul	label
150350	Daftar Insan Sepak Bola yang Positif Virus Corona	FAKTA
150351	INFOGRAFIS: Virus Corona Berbahaya Vs DBD Mematikan	FAKTA
150352	BIN: Puncak Penyebaran Corona Covid-19 Diperkirakan di Bulan Puasa	FAKTA
150353	Maskapai Eropa Terbangkan Pesawat Hantu Akibat Wabah Corona	FAKTA
150354	Curhat WNI di Italia, Merasakan Lockdown Akibat Virus Corona COVID-19	FAKTA
150355	Susul Arteta, Gelandang Chelsea Juga Kena Virus Corona	FAKTA
150356	Gerak Cepat Tangkal Corona, Pemerintah: Masa Nanti Idul Fitri Salaman Pakai Kaki?	HOAX
150357	Kasus Virus Corona di Singapura Naik Jadi 187, 2 Pasien di Antaranya WNI	FAKTA
150358	Selain Iran, 3 Negara Ini Tengah Meneliti Obat Untuk Virus Corona COVID-19	FAKTA
150359	Jubir Pemerintah Pertanyakan Data Gubernur Banten Soal Warganya Positif Corona	FAKTA
150360	Duka Pengusaha Hotel dan Restoran Indonesia, Rugi Triliunan Rupiah Akibat Wabah Corona	FAKTA
150361	Gubernur Wahidin: 4 Warga Banten Positif Covid-19 Baru Pulang dari Malaysia	FAKTA
150362	Terkuak Penular Virus Corona ke Pasien Nomor 27 yang Transmisi Lokal	FAKTA
150363	Bek Juventus Positif Virus Corona, Cristiano Ronaldo Dikarantina di Madeira	FAKTA
150364	2 Pasien dengan Gejala Corona Meninggal Dunia di RSPI Sulianti Saroso	FAKTA
150365	Iran Temukan Obat Virus Corona, Pasien Sembuh Secara Parsial	FAKTA
150366	Virus Corona COVID-19 Picu Filipina Lockdown Ibu Kota	FAKTA
150367	Viral 5 Wilayah di Jakarta Pusat Penyebaran Corona, Pemprov DKI: Itu Hoaks	FAKTA
150368	Daftar 81 Negara yang Belum Ada Laporan Virus Corona COVID-19	FAKTA
150369	Deretan Pejabat, Atlet hingga Selebritas Dunia yang Positif Virus Corona	FAKTA
150370	Update Virus Corona Hari Ini: 126.136 Orang di Dunia Terinfeksi, 68.219 Pasien Sembuh	FAKTA
150371	Selamat, 3 Orang Pasien di RSUP Persahabatan Sembuh dari Corona	FAKTA
150372	5 Hal Viralnya Tangkapan Layar Penyebaran Virus Corona di KRL Bogor-Kota	FAKTA
150373	Aktor Tom Hanks Positif Terjangkit Virus Corona	FAKTA
150374	Iran Berhasil Temukan Obat Virus Corona, Ini 4 Faktanya	FAKTA
150375	Cek Bedanya Tanda-Tanda Orang Kena DBD dan Virus Corona	FAKTA
150376	1 Pasien Terkait Corona di RSPI Sulianti Saroso Meninggal Dunia	FAKTA
150377	Polisi Tangkap Penyebar Hoaks Virus Corona di Lampung	FAKTA
150378	Efek Virus Corona, Manchester United Dukung Penangguhan Premier League	FAKTA
150379	Menkes: Soal Corona, Indonesia Tak Perlu Lockdown	FAKTA
150380	Kasus Virus Corona Mencapai 45, Arab Saudi Setop Kedatangan WNA Termasuk Indonesia	FAKTA
150381	Alasan Pemerintah Rahasiakan Rumah Sakit yang Isolasi Pasien Positif Corona	FAKTA
150382	Rugani Positif Terkena Virus Corona, Semua Pemain Juventus Akan Dikarantina	FAKTA
150383	Tom Hanks Positif Virus Corona, Warganet Tak Terima	FAKTA
150384	INFOGRAFIS: Corona Bikin Italia Lockdown	FAKTA
150385	Mikel Arteta Kena Virus Corona, Legenda MU Sebut Operator Liga Inggris Memalukan	FAKTA
150386	Juventus Galang Dana Usai Daniele Rugani Terpapar Virus Corona	FAKTA
150387	Cegah Penyebaran Corona, Izin Keramaian di Bogor Ditiadakan	FAKTA
150388	Arteta Kena Virus Corona, Liga Inggris Rapat Darurat	FAKTA
150389	Kata Pengamat Soal Serangan DDoS ke Situs Pemantauan Virus Corona Pemprov Jakarta	FAKTA
150390	Mikel Arteta Terkena Virus Corona, Laga Arsenal Ditunda	FAKTA
150391	Kemendikbud Keluarkan 2 Surat Edaran Pencegahan Virus Corona, Ini Isinya	FAKTA
150392	Cegah Virus Corona, Pusat Perbelanjaan di Tangerang Disemprot Disinfektan	FAKTA
150393	Sudah Sembuh dari Corona, Pasien Kasus 6 Belum Mau Pulang	FAKTA
150394	Manolo Gabbiadini Positif Virus Corona, Leicester City Isolasi 3 Pemain dengan Gejala	FAKTA
150395	WHO Tetapkan Pandemi, Isyarat Corona Serang Siapa pun dan Negara Mana pun	FAKTA
150396	Pemprov DKI: Potensi Sebaran Corona Bukan di Permukiman Padat Penduduk	FAKTA
150397	Pasien Corona 01 dan 03 Sembuh, Dipulangkan Sore Ini	FAKTA
150398	Kunci Penyintas Virus Corona COVID-19 di AS Bisa Sembuh Tanpa Dirawat di RS	FAKTA
150399	Terinfeksi Virus Corona, Bek Juventus Daniele Rugani Unggah Pesan di Media Sosialnya	FAKTA
150400	Cegah Virus Corona, Menteri Agama Minta Semua Masjid Gulung Karpet	FAKTA
150401	Dikarantina karena Virus Corona, Wanita Ini Terjebak Bersama Mayat Suami	FAKTA
150402	Misteri Penularan Covid-19 ke Pasien 27 Terpecahkan	FAKTA
150403	Mudik Lebaran Bakal Dipadati Kendaraan Pribadi jika Corona Tak Kunjung Usai	FAKTA
150404	Virus Corona Bikin BTS dan 6 Artis Dunia Ini Batalkan Konser	FAKTA
150405	Wapres Ma'ruf Amin Perkenalkan Salaman Corona	FAKTA
150406	Bek Manchester City Diisolasi karena Virus Corona	FAKTA
150407	Termasuk Daniele Rugani, 4 Pesepak Bola Positif Virus Corona	FAKTA
150408	Terinfeksi Virus Corona, Pemain Juventus Daniele Rugani Buka Suara	FAKTA
150409	Apa yang Berubah Setelah WHO Naikkan Status Virus Corona Jadi Pandemi?	FAKTA
150410	Tengok Gaya Salaman Corona Ala Ma'ruf Amin, JK dan Sri Mulyani	FAKTA
150411	Ini Daftar Negara yang Masih Bebas dari Laporan Virus Corona COVID-19	FAKTA
150412	Dicari Relawan untuk Diinfeksi Virus Corona, Bakal Dapat Imbalan Rp 65 Juta	FAKTA
150413	Termakan Hoaks Virus Corona, Puluhan Orang di Iran Meninggal Keracunan Alkohol	FAKTA
150414	5 Artis Ini Dikarantina Akibat Corona, Terbaru Asmara Abigail	FAKTA
150415	Pasien Positif Virus Corona Bertambah Jadi 34 Orang	FAKTA
150416	Pasien Gagal Ginjal yang Terkena Corona Sulit untuk Sembuh	FAKTA
150417	Tambah 7, Total 34 Pasien Positif Virus Corona di Indonesia	FAKTA
150418	Semua Pasien Positif Corona di RSPI Sulianti Saroso Tak Punya Penyakit Bawaan	FAKTA
150419	Ronaldo Dapat Izin Khusus Masuk Italia yang Sedang Dikarantina karena Virus Corona	FAKTA
150420	Virus Corona Merebak, Mantan Menkes Nila Moeloek: Waktu Tepat Menakuti Para Perokok	FAKTA
150421	Resep Makanan Jepang Berusia 1.000 Tahun Populer Lagi Berkat Corona	FAKTA
150422	Harga Emas Rontok 4 Persen Dampak Kepanikan Virus Corona	FAKTA
150423	Aman, 20 Negara dan Wilayah Ini Belum Terjamah Virus Corona COVID-19	FAKTA
150424	WHO Resmi Umumkan Virus Corona sebagai Pandemi	FAKTA
150425	Antisipasi Virus Corona, Panpel Persib Akan Periksa Suhu Tubuh dan Sediakan Hand Sanitizer	FAKTA
150426	Kasus Virus Corona COVID-19 di Jerman Bertambah, Ini Imbauan KBRI Berlin ke WNI	FAKTA
150427	Lantaran Pandemi Virus Corona, FAM Putuskan Liga Malaysia Tanpa Penonton	FAKTA
150428	Update Virus Corona: 119.044 Orang di Dunia Terinfeksi, 65.762 Pasien Sembuh	FAKTA
150429	Tom Hanks Diisolasi Akibat Virus Corona, Begini Respons Pihak Warner Bros	FAKTA
150430	Australia Sebut Kemampuan Indonesia Tangani Virus Corona di Bawah Standar	FAKTA
150431	Virus Corona Bikin Start MotoGP 2020 Kembali Tertunda, Batal Dimulai di Austin	FAKTA
150432	Kisah Perawat Italia Hadapi Virus Corona hingga Wajah Memar	FAKTA
150433	Tom Hanks dan Istri Diisolasi Usai Positif Virus Corona	FAKTA
